,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif
3299,2018/11/1,3185.2,3217.8,3173.1,3177.03,132653379,,-37.9491443,-41.02575559,6.153222571,3185.2,3177.03,,,,,3290.9,9.663701671,3270.27,-47.9232306
3300,2018/11/2,3258.61,3290.25,3222.44,3290.25,153466104,,-25.01227936,-37.82306034,25.62156197,3290.25,3258.61,,,,,3290.9,9.663701671,3270.27,-47.9232306
3301,2018/11/5,3269.47,3279.88,3230.36,3262.84,109706683,,-16.77807144,-33.61406256,33.67198224,3269.47,3262.84,,,,,3290.9,9.663701671,3270.27,-47.9232306
3302,2018/11/6,3254.98,3254.98,3213.9,3243.15,83869138,,-11.70627811,-29.23250567,35.05245513,3254.98,3243.15,,,,,3290.9,9.663701671,3270.27,-47.9232306
3303,2018/11/7,3243.88,3270.5,3218.42,3221.91,91615528,,-9.293604942,-25.24472553,31.90224117,3243.88,3221.91,,,,,3290.9,9.663701671,3270.27,-47.9232306
3304,2018/11/8,3251.73,3253.57,3207.71,3212.77,76414540,,-8.026540725,-21.80108857,27.54909568,3251.73,3212.77,,,,,3290.9,9.663701671,3270.27,-47.9232306
3305,2018/11/9,3193.3,3193.3,3166.31,3167.44,84282762,,-10.55842442,-19.55255574,17.98826263,3193.3,3167.44,,,,,3290.9,9.663701671,3270.27,-47.9232306
3306,2018/11/12,3160.25,3206.51,3152.44,3205.14,88062391,,-9.414362653,-17.52491712,16.22110893,3205.14,3160.25,,,,,3290.9,9.663701671,3270.27,-47.9232306
3307,2018/11/13,3164.92,3254.77,3161.1,3237.38,126493464,,-5.838879926,-15.18770968,18.69765951,3237.38,3164.92,,,,,3290.9,9.663701671,3270.27,-47.9232306
3308,2018/11/14,3233.64,3239.24,3200.23,3204.94,113808659,,-5.558842121,-13.26193617,15.4061881,3233.64,3204.94,,,,,3290.9,9.663701671,3270.27,-47.9232306
3309,2018/11/15,3201.28,3242.38,3198.78,3242.37,98558810,,-2.290221708,-11.06759328,17.55474314,3242.37,3201.28,,,,,3290.9,9.663701671,3270.27,-47.9232306
3310,2018/11/16,3242.88,3282.39,3223.72,3257.67,126876835,,1.517275444,-8.550619533,20.13578995,3257.67,3242.88,,,,,3290.9,9.663701671,3270.27,-47.9232306
3311,2018/11/19,3258.79,3294.6,3251.07,3294.6,115956595,,7.429049276,-5.354685771,25.56747009,3294.6,3258.79,,,1,,3290.9,9.663701671,3270.27,-47.9232306
3312,2018/11/20,3268.08,3278.78,3213.68,3218.41,109361154,,5.898284622,-3.104091692,18.00475263,3268.08,3218.41,,,,,3290.9,9.663701671,3270.27,-47.9232306
3313,2018/11/21,3187.1,3230.26,3185.24,3226.49,84119726,,5.276309072,-1.42801154,13.40864122,3226.49,3187.1,,,,,3290.9,9.663701671,3270.27,-47.9232306
3314,2018/11/22,3232.97,3235.45,3199.7,3214.43,65098291,,3.76682613,-0.389044006,8.311740272,3232.97,3214.43,,,,,3290.9,9.663701671,3270.27,-47.9232306
3315,2018/11/23,3208.59,3212.2,3139.39,3143.48,84638255,,-3.118573054,-0.934949815,-4.367246477,3208.59,3143.48,,,,,3290.9,9.663701671,3270.27,-47.9232306
3316,2018/11/26,3148.67,3169.44,3131.64,3141.24,59379140,,-8.656266738,-2.4792132,-12.35410708,3148.67,3141.24,,,,,3290.9,9.663701671,3270.27,-47.9232306
3317,2018/11/27,3152.77,3162.01,3126.29,3137.24,55407832,,-13.21535704,-4.626441968,-17.17783015,3152.77,3137.24,,,,,3290.9,9.663701671,3270.27,-47.9232306
3318,2018/11/28,3137.75,3179.41,3126.62,3178.93,74881955,,-13.31099352,-6.363352279,-13.89528249,3178.93,3137.75,,,,,3290.9,9.663701671,3270.27,-47.9232306
3319,2018/11/29,3198.83,3204.86,3137.65,3137.65,80498466,,-16.52722161,-8.396126145,-16.26219093,3198.83,3137.65,,,,,3290.9,9.663701671,3270.27,-47.9232306
3320,2018/11/30,3136.2,3175.15,3132.42,3172.69,70921044,,-16.06350035,-9.929600986,-12.26779873,3172.69,3136.2,,,,,3290.9,9.663701671,3270.27,-47.9232306
3321,2018/12/3,3260.69,3273.64,3228.36,3260.95,121487157,,-8.476442377,-9.638969264,2.325053774,3260.95,3260.69,,,,,3290.9,9.663701671,3270.27,-47.9232306
3322,2018/12/4,3256.23,3267.94,3243.7,3267.71,79415039,,-1.896309295,-8.090437271,12.38825595,3267.71,3256.23,,,,,3290.9,9.663701671,3270.27,-47.9232306
3323,2018/12/5,3224.26,3266.9,3219.98,3252,76153052,,2.027456616,-6.066858493,16.18863022,3252,3224.26,,,,,3290.9,9.663701671,3270.27,-47.9232306
3324,2018/12/6,3218.11,3223.52,3179.89,3181.67,76328771,,-0.531843102,-4.959855415,8.856024626,3218.11,3181.67,,,,,3290.9,9.663701671,3270.27,-47.9232306
3325,2018/12/7,3187.49,3193.82,3176.71,3181.56,53361924,,-2.539706492,-4.475825631,3.872238276,3187.49,3181.56,,,,,3290.9,9.663701671,3270.27,-47.9232306
3326,2018/12/10,3153.52,3170.15,3134.38,3144.76,63437273,,-7.019488847,-4.984558274,-4.069861146,3153.52,3144.76,,,,,3290.9,9.663701671,3270.27,-47.9232306
3327,2018/12/11,3148.23,3161.96,3143.61,3159.82,53223877,,-9.24792814,-5.837232247,-6.821391786,3159.82,3148.23,,,,,3290.9,9.663701671,3270.27,-47.9232306
3328,2018/12/12,3181.57,3182.21,3160.28,3170.61,53309914,,-10.02772613,-6.675331023,-6.704790207,3181.57,3170.61,,,,,3290.9,9.663701671,3270.27,-47.9232306
