本基金收益率数据由邢不行整理，包含了2008年-2021年所有主动偏股型基金，并剔除当年新上市基金，同一个基金的A类/C类份额中只取A类。,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
160106.OF,-0.560661794,0.553726916,0.123020328,-0.276003079,0.12917458,0.181636395,0.288976951,0.366391816,-0.119775882,0.067721562,-0.361280028,0.476572798,0.529782632,0.225203052
050001.OF,-0.486981678,0.554511278,-0.055622733,-0.079385403,0.020862309,-0.073569482,0.232352941,0.063245823,-0.09315376,-0.034653465,-0.194871795,0.460191082,0.402399128,-0.033478577
519011.OF,-0.466120271,0.560157087,0.087188625,-0.178222832,-0.003777399,0.097814326,0.040182501,0.269694255,-0.028901814,0.088362322,-0.192452929,0.426577493,0.486764057,-0.034107971
257030.OF,-0.49400973,0.560794045,-0.038418705,-0.204798077,0.080246913,0.162285714,0.286156072,0.338609361,-0.07841516,0.183229507,-0.212259835,0.395496715,0.557703238,0.010149877
460001.OF,-0.519438275,0.564493099,0.06616976,-0.268654587,0.002145923,0.185322172,0.201018229,0.316286066,-0.207769419,0.301072168,-0.260718418,0.394428969,0.818937704,0.132525741
257040.OF,,0.566963363,-0.112267428,-0.239197219,0.089262612,0.229216152,0.359474943,0.57741376,-0.182959856,0.121376812,-0.366720517,0.275510204,0.097,0.021872617
206001.OF,-0.391055924,0.567356735,0.107827552,-0.230010831,0.030654515,0.103238402,0.077128155,0.260946379,0.027761194,0.042501694,0.004179049,0.029594007,0.016078326,0.033504424
000021.OF,-0.434410276,0.570543703,0.247486515,-0.286453057,0.008264463,0.132969034,0.112540193,0.431358382,-0.202927814,0.134262191,-0.272473479,0.471220261,0.623369849,0.127893537
160805.OF,-0.500085988,0.571472439,0.004714406,-0.248073029,-0.028989362,0.104765817,0.463493244,0.127387866,-0.236527105,0.037336878,-0.264647641,0.282274671,0.557482375,0.326399928
410003.OF,-0.597654912,0.572218676,0.075226627,-0.337108342,-0.063022019,0.230551053,0.286137636,0.545954941,-0.208081477,0.009619406,-0.24067937,0.549509002,0.660491603,0.219443408
481001.OF,-0.41069148,0.574851036,0.056739129,-0.236518656,0.036956522,0.154437457,0.304479419,0.188216922,-0.143843252,0.238439306,-0.238155102,0.3673976,0.754329632,0.04854515
398001.OF,-0.447035641,0.574883901,0.176542871,-0.286550285,0.016544503,0.133086114,0.217298975,0.259730082,-0.222020433,0.275208491,-0.329567975,0.664498965,0.610485847,0.129022955
162605.OF,-0.507422005,0.575,-0.108465609,-0.216617211,0.066919192,0.233136095,0.104606526,0.379669853,-0.050628145,0.555172414,-0.167744409,0.690387839,0.930337079,-0.100053114
377010.OF,-0.466200574,0.575678723,-0.065077109,-0.287056136,-0.071705168,0.107499041,-0.009178284,0.516647732,-0.098242581,0.212140575,-0.428281497,0.579779632,0.476143228,0.142575971
121002.OF,-0.393344625,0.576120874,0.032614359,-0.17790111,0.047256659,0.108884201,0.166261495,0.316295088,-0.119136645,0.017090911,-0.12979202,0.440906651,0.532566836,0.065701215
350002.OF,-0.50862307,0.586219144,0.183609494,-0.268839192,0.033342085,0.041412602,0.157599415,0.075026343,-0.337678887,0.291549504,-0.357281998,0.312533428,0.209997284,0.251917591
270001.OF,-0.495025029,0.59478644,-0.00943903,-0.192981097,0.086781223,0.05291052,-0.047567114,0.416806131,-0.163771702,0.314752116,-0.225420767,0.206839231,0.279417552,0.228074949
202003.OF,-0.494693414,0.59479726,0.023843955,-0.232598665,0.07463685,0.145931525,0.12732266,0.594860501,-0.161247448,0.357357011,-0.262050241,0.546859903,0.463005411,-0.047748655
202007.OF,-0.579696395,0.595936795,0.005657708,-0.275668073,0.091262136,-0.076512456,0.040462428,0.462962963,-0.126582279,0.244927536,-0.16298021,0.457579972,0.537004897,-0.082759732
080002.OF,,0.598736718,0.105668276,-0.116197499,0.030324616,0.217882389,0.315690364,0.508067315,-0.227244474,0.164465786,-0.229990628,0.398977605,0.346702627,0.27235652
151001.OF,-0.422213392,0.60322015,0.067741011,-0.166485931,0.037100653,0.230208679,0.17674742,0.504628372,-0.075536225,0.136312429,-0.158939592,0.347682574,0.743186551,0.108804281
070002.OF,-0.393555275,0.603314917,0.248729782,-0.187188505,0.055504587,0.141214947,0.14878768,0.67432384,-0.078047997,0.031347962,-0.108505317,0.522301989,0.656666029,-0.028435255
166001.OF,-0.586131257,0.604049659,-0.162725486,-0.264373178,0.107799619,0.06682885,0.260898726,0.616382979,-0.016066928,0.238581147,-0.234221352,0.548283535,0.602608041,0.013305892
240002.OF,-0.447837256,0.604494848,-0.07134963,-0.188837015,0.106348252,0.048397207,0.195297335,0.373068867,-0.118697956,0.080397283,-0.195468568,0.463661448,0.55686383,0.145035309
040004.OF,-0.381991899,0.606413994,0.075317604,-0.151208422,0.04033092,0.099403579,0.348101266,0.439426429,-0.1292264,0.057522124,-0.182426778,0.540208581,0.539891537,-0.098038802
550001.OF,-0.444104135,0.610273862,0.144510416,-0.331623821,-0.021349862,0.165095004,0.264556656,0.397306486,-0.065978312,0.086641657,-0.32833067,0.301781896,0.414529355,0.097356723
160311.OF,-0.428470754,0.611590629,-0.010715,-0.262032086,0.071014493,0.159675237,0.292882147,0.302346571,-0.13028413,0.265338645,-0.225440806,0.361788618,0.374328358,-0.162894708
112002.OF,-0.477697728,0.611848826,-0.033890936,-0.19269103,0.056790123,0.207165109,0.146451613,0.23127145,-0.324376292,0.176748264,-0.322115099,0.418862691,0.336052685,0.246156739
200007.OF,-0.588956472,0.613179191,0.09989967,-0.204326296,0.070094989,0.089531681,0.075010535,0.395008493,-0.093106032,0.150588721,-0.243447038,0.419197912,0.654543934,0.034090516
050004.OF,-0.516567857,0.613782781,-0.074236421,-0.212655959,0.071528629,-0.049383995,0.316413537,0.375402832,-0.084418303,0.086340874,-0.197301733,0.35504638,0.22201027,-0.057862955
398021.OF,-0.492957062,0.614225233,0.00493076,-0.373838605,-0.026342114,0.040582191,0.102353135,0.214957456,-0.187738051,0.316593556,-0.35569853,0.21879458,0.45442575,0.664861901
050201.OF,-0.503531786,0.615853659,-0.085534591,-0.096286108,0.00456621,-0.084848484,0.218543046,0.038043478,-0.108638743,-0.04845815,-0.205246914,0.458252428,0.41011984,-0.03224853
570001.OF,-0.566140861,0.618242705,-0.020398108,-0.208832109,0.043102352,0.024378352,0.215254641,0.434544208,-0.105385298,0.418326085,-0.224798279,0.272160426,1.3260367,0.059986399
202009.OF,,0.619810115,-0.013871108,-0.296689945,0.10466761,0.003841229,0.270526145,0.720605451,-0.214864961,-0.037671233,-0.243179122,0.4169279,0.723054722,0.087293153
110002.OF,-0.481675392,0.62056273,-0.039850736,-0.193779314,0.053428818,0.21243151,0.137883135,0.242375315,-0.351167681,0.174224843,-0.321779933,0.414317307,0.322970595,0.225752149
310308.OF,-0.481986532,0.62122197,0.087200561,-0.245526848,0.030439386,0.138453635,0.309679603,0.289956127,-0.209800627,0.29064617,-0.22812153,0.444749575,0.755010383,-0.021242589
210001.OF,-0.5142746,0.621941436,0.04358006,-0.276121452,0.034489051,0.162462516,0.027010622,0.387706856,0.023530664,0.102569437,-0.255195262,0.291672291,0.389341693,-0.013804508
481004.OF,-0.479674797,0.623153229,0.09365252,-0.223268771,0.004611443,0.291907515,0.077641795,0.349126877,-0.336938812,-0.113029827,-0.308118507,0.585363141,0.435877648,-0.025134075
450003.OF,-0.461677697,0.624006123,0.048071263,-0.203053089,0.006299735,0.119384953,0.260750117,0.370858382,-0.18583176,0.18083004,-0.181589958,0.520871308,0.644931273,0.149319804
163803.OF,-0.470397266,0.624228949,0.024547803,-0.253678016,0.090230665,0.090696951,0.332762801,0.336868374,-0.230841607,0.100799243,-0.198017025,0.25,0.642647035,0.223393306
540003.OF,-0.478073425,0.625451729,0.125353534,-0.250489237,-0.03383812,0.15436169,0.589568312,0.384624447,-0.082895063,0.191736363,-0.231276841,0.44645047,0.717535679,0.401069322
288001.OF,-0.422704395,0.631431587,0.048118151,-0.177272727,0.020994475,0.349567099,0.050703507,0.230702515,-0.245267245,0.021472392,-0.143143143,0.261682243,0.665740741,0.354641467
110005.OF,-0.45858328,0.632917785,0.053219283,-0.265440972,0.028656639,0.182696434,-0.003335956,0.245817415,-0.048455656,0.198743017,-0.283251225,0.40225199,0.343368073,0.446250223
110009.OF,-0.461183276,0.634976172,0.002018572,-0.24009901,0.071661238,-0.041138492,0.099110283,0.732353829,-0.21634236,0.190952335,-0.23756054,0.436837054,0.602600367,0.200841813
519068.OF,-0.508522371,0.637893662,0.07510291,-0.215271233,0.047718254,0.169985236,0.191044641,0.843863562,-0.108422638,0.451602605,-0.247852761,0.487895595,0.648155107,-0.112535445
