code,name,industry,area
600531,豫光金铅,铅锌,河南
002155,湖南黄金,黄金,湖南
600489,中金黄金,黄金,北京
002311,海大集团,饲料,广东
002520,日发精机,机床制造,浙江
601928,凤凰传媒,出版业,江苏
002867,周大生,服饰,深圳
002888,惠威科技,元器件,广东
002611,东方精工,轻工机械,广东
000156,华数传媒,影视音像,浙江
000587,金洲慈航,批发业,黑龙江
603777,来伊份,食品,上海
603357,设计总院,建筑施工,安徽
600861,北京城乡,百货,北京
600082,海泰发展,园区开发,天津
603607,京华激光,造纸,浙江
300631,久吾高科,环境保护,江苏
300135,宝利国际,化工原料,江苏
600698,*ST天雁,汽车配件,湖南
600233,圆通速递,仓储物流,辽宁
000040,东旭蓝天,新型电力,深圳
300580,贝斯特,汽车配件,江苏
300604,长川科技,专用机械,浙江
000608,阳光股份,区域地产,广西
600677,航天通信,通信设备,浙江
300568,星源材质,化工原料,深圳
002489,浙江永强,家居用品,浙江
603019,中科曙光,电脑设备,天津
002819,东方中科,电器仪表,北京
300299,富春股份,通信设备,福建
600218,全柴动力,农用机械,安徽
000729,燕京啤酒,啤酒,北京
603896,寿仙谷,中成药,浙江
603876,鼎胜新材,铝,江苏
600987,航民股份,纺织,浙江
603987,康德莱,医疗保健,上海
300122,智飞生物,生物制药,重庆
002203,海亮股份,铜,浙江
000703,恒逸石化,化纤,广西
000796,凯撒旅游,旅游服务,陕西
000889,中嘉博创,通信设备,河北
300629,新劲刚,矿物制品,广东
002488,金固股份,汽车配件,浙江
603303,得邦照明,家用电器,浙江
603278,大业股份,钢加工,山东
002277,友阿股份,百货,湖南
002045,国光电器,元器件,广东
002715,登云股份,汽车配件,广东
600796,钱江生化,农药化肥,浙江
600055,万东医疗,医疗保健,北京
002494,华斯股份,服饰,河北
603882,金域医学,医疗保健,广东
600195,中牧股份,饲料,北京
002409,雅克科技,化工原料,江苏
603599,广信股份,农药化肥,安徽
300373,扬杰科技,半导体,江苏
000603,盛达矿业,铅锌,北京
300642,透景生命,医疗保健,上海
002866,传艺科技,电脑设备,江苏
002002,鸿达兴业,化工原料,江苏
300067,安诺其,染料涂料,上海
000553,安道麦A,农药化肥,湖北
002743,富煌钢构,钢加工,安徽
002782,可立克,电气设备,深圳
601608,中信重工,专用机械,河南
300417,南华仪器,电器仪表,广东
603860,中公高科,公路,北京
603608,天创时尚,服饰,广东
002733,雄韬股份,电气设备,深圳
603810,丰山集团,农药化肥,江苏
603101,汇嘉时代,百货,新疆
002387,维信诺,元器件,广东
300752,隆利科技,元器件,深圳
600085,同仁堂,中成药,北京
603139,康惠制药,中成药,陕西
601678,滨化股份,化工原料,山东
603037,凯众股份,汽车配件,上海
000597,东北制药,化学制药,辽宁
603696,安记食品,食品,福建
300461,田中精机,专用机械,浙江
603111,康尼机电,运输设备,江苏
002281,光迅科技,通信设备,湖北
603185,上机数控,机床制造,江苏
002011,盾安环境,工程机械,浙江
