,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif,state,signal
624,2007-11-05,5438.81,5494.62,5333.38,5360.31,33695000.0,,14.30318660408102,49.913228886716205,-71.22008456527037,5438.81,5360.31,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
625,2007-11-06,5331.31,5406.1,5295.79,5317.55,27057900.0,,-3.652001554256458,39.20018279852167,-85.70436870555626,5331.31,5317.55,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
626,2007-11-07,5348.56,5388.64,5231.61,5350.63,30061300.0,,-15.03897801387393,28.35235063604255,-86.78265729983296,5350.63,5348.56,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
627,2007-11-08,5321.86,5321.86,5090.96,5093.67,36054900.0,,-44.287247570396175,13.824430994754806,-116.22335713030196,5321.86,5093.67,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
628,2007-11-09,5042.76,5129.11,4962.3,5040.52,34583800.0,,-70.93774653837954,-3.1280045118720636,-135.61948405301496,5042.76,5040.52,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
629,2007-11-12,4916.82,5018.11,4795.43,4978.25,38413900.0,,-95.97676713678993,-21.697757036855638,-148.5580201998686,4978.25,4916.82,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
630,2007-11-13,5024.52,5082.64,4866.16,4939.24,36862100.0,,-117.61238991746086,-40.88068361297668,-153.46341260896835,5024.52,4939.24,,1.0,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
631,2007-11-14,5013.78,5147.01,4924.82,5145.89,35231500.0,,-116.73816400582109,-56.05217969154556,-121.37196862855106,5145.89,5013.78,,,,,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
632,2007-11-15,5129.81,5170.97,5069.52,5081.11,31759500.0,,-119.89051505504085,-68.81984676424463,-102.14133658159244,5129.81,5081.11,,,,1.0,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
633,2007-11-16,4999.84,5021.71,4917.49,5007.66,23311000.0,,-126.85329134653693,-80.4265356807031,-92.85351133166768,5007.66,4999.84,,,,1.0,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
634,2007-11-19,5017.4,5033.95,4968.73,4994.42,25548100.0,,-131.91901873905954,-90.7250322923744,-82.38797289337029,5017.4,4994.42,,,,1.0,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
635,2007-11-20,4962.63,5099.52,4916.47,5069.38,33562700.0,,-128.4048277361744,-98.2609913811344,-60.28767271008002,5069.38,4962.63,,,,,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
636,2007-11-21,5087.25,5135.25,4993.29,4997.62,26803100.0,,-129.91268575116555,-104.59133025514065,-50.642710992049814,5087.25,4997.62,,,,,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
637,2007-11-22,4902.63,4949.33,4759.91,4772.62,26507700.0,,-147.56228749224283,-113.18552170256109,-68.75353157936348,4902.63,4772.62,,,,1.0,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
638,2007-11-23,4733.37,4857.05,4711.79,4856.16,20146300.0,,-153.04454199032534,-121.15732576011395,-63.77443246042279,4856.16,4733.37,,,,1.0,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
639,2007-11-26,4931.6,4954.18,4795.35,4800.08,23622300.0,,-160.06927651742353,-128.9397159115759,-62.25912121169529,4931.6,4800.08,,1.0,,1.0,5824.12,176.52001973173537,4939.24,-117.61238991746086,,
640,2007-11-27,4759.01,4806.83,4708.8,4711.15,20886800.0,,-170.8429656595381,-137.32036586116834,-67.04519959673951,4759.01,4711.15,,,,1.0,5824.12,176.52001973173537,4800.08,-160.06927651742353,,
641,2007-11-28,4724.47,4760.66,4619.51,4648.75,22482400.0,,-182.31473959527557,-146.3192406079898,-71.99099797457154,4724.47,4648.75,,,,1.0,5824.12,176.52001973173537,4800.08,-160.06927651742353,,
642,2007-11-29,4708.38,4847.58,4637.48,4842.07,36873000.0,,-173.80339735580674,-151.8160719575532,-43.97465079650709,4842.07,4708.38,,1.0,,,5824.12,176.52001973173537,4800.08,-160.06927651742353,,
643,2007-11-30,4841.08,4841.08,4723.79,4737.41,29383700.0,,-173.50324719832133,-156.1535070057068,-34.69948038522904,4841.08,4737.41,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
644,2007-12-03,4714.92,4809.27,4689.52,4772.67,22255900.0,,-168.47807830344573,-158.6184212652546,-19.71931407638226,4772.67,4714.92,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
645,2007-12-04,4786.64,4886.58,4786.64,4829.21,22643600.0,,-158.11068867579706,-158.5168747473631,0.8123721431320519,4829.21,4786.64,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
646,2007-12-05,4829.95,4970.17,4815.61,4965.95,31769200.0,,-137.27822456666127,-154.26914471122274,33.98184028912294,4965.95,4829.95,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
647,2007-12-06,4986.25,4999.93,4928.13,4971.06,23711600.0,,-118.98443388780288,-147.21220254653878,56.455537317471794,4986.25,4971.06,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
